caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5
a man speaks and a vehicle engine runs,a man sprays as a scraping occurs in the background,a man speaks as a scratching occurs,a man speaks over soft spraying noises,a grown man speaks over soft rubbing,an adult male speaks over continuous rubbing noise
a person speaks and a vehicle engine runs,several beeps are followed by a hit and a woman talking,multiple beeps are followed by a squawk and a child speaking,digital bleeping followed by explosions and rustling then blink and a woman speaking,a beep occurs then a loud noise before a cartoon character speaks,a beep occurs multiple times then an ear-blasting sound occurs before a cartoon character speaks
a person speaks and a vehicle engine runs,a person sneezes followed by another person speaking,a person sneezes then speaks,a person breathes hard and then sneezes followed by speaking,a woman inhales then sneezes,a person sneezes then speaks
a person speaks and a vehicle engine runs,a duck quacks continuously,a duck quacks loudly and continuously,a duck quacks several times,an animal quacks rapidly,an animal chatters frantically then quacks repeatedly
a vehicle engine is running and revving up,a low rumble followed by two scuffles and then steam hissing,a motor rumbles and steam hisses,a low rumble followed by steaming hissing,steam is released then stops and is released again,a car travels along a road followed by water hissing loudly as it runs
a vehicle engine is running and revving up,a rumble grows louder,wind blows as a helicopter flies overhead,a helicopter passes overhead,a helicopter is flying through the air while wind is blowing,a helicopter flies overhead
a machine runs and a person speaks,music plays and someone speaks before gunfire and an explosion occurs,music plays and a woman speaks on a radio before gunshots are fired,music plays followed by gunshots and then an explosion,intense music plays loudly while a woman shouts and gunfire is let off,adventurous music plays as a woman speaks and then multiple gunshots follow
wind blows hard as water splashes and a person speaks,water quietly rushes by while birds chirp in the background,wind blows and a stream of water flows nearby,a door slides shut wind blows and birds chirp,a door slides shut amid light wind and chirping birds,wind gusts near a stream as birds chirp
a person speaks and a vehicle engine runs,music plays and animals vocalize as a cartoon character makes sounds,music plays and repeated slaps accompany human sniveling then insect buzz,a person whimpers followed by guitar music a smack and then more crying then bugs buzz and a frog croaking,music plays and cartoon characters cry before a frog croaks,music plays as a man laughs and whimpers insects buzz and a frog croaks
a person speaks and a vehicle engine runs,multiple ducks quack continuously,several ducks are quacking and squawking,several ducks quack and rustle,ducks quack continuously,ducks quack continuously
a man speaks and a vehicle engine runs,a man speaks with quick typing on a keyboard,a man speaks the begins typing on a keyboard,a man speaks while typing on a computer keyboard,a man speaks followed by clicking on a keyboard,a man speaks while typing on a keyboard
a vehicle engine is running and revving up,a helicopter engine runs continuously,a helicopter engine runs,a helicopter engine loudly hums in the air and then softens to a low hum,a helicopter engine runs steadily,a propeller spins and ticks
a vehicle engine is running and revving up,a vibration occurs making a clicking noise,a vehicle engine idles,a motorcycle engine works in idle,a motorcycle spits noisily as it idles,an engine stutters
a man speaks and a vehicle engine runs,scraping and female speech with distant music,a girl speaks followed by scraping and then the girl speaking again,a woman speaks over repeated scraping,a woman speaks while a rhythmic splashing sound occurs,a woman speaks and scraps an object against metal
birds are chirping and a person speaks,a bird is chirping and tweeting a bird song,birds chirp continuously,birds chirp continuously,a bird is chirping while air is flowing in a hollowed space,birds chirp and wind blows
a cat meows and a woman speaks,a man laughs and speaks as cats purr and hiss,a cat meows and a man speaks,cats snarl and hiss as a man speaks and laughs,a male is speaking as angry cat growls and hisses,a cat meows while a man speaks
a vehicle engine is running and revving up,clattering and people hooting is followed by distant conversation and a buzzer,audience applause followed by a horn,a crowd speaks and gives applause in a closed environment before a buzzer sounds,some audience applause and chatter then a buzzer goes off,a crowd cheers and applause followed by a buzzer
,a bus engine idles while a woman speaks making an announcement,a vehicle engine runs while a woman makes an announcement,a vehicle engine runs as a woman speaks over an intercom,a recorded voice plays over an idling engine and soft conversation,a vehicle engine idles as a woman makes an announcement
,a train horn blows as it passes by,a train horn blares as a train passes then fades,a stream engine train horn sounds and tracks click,a train running on railroad tracks while a train horn blows followed by city traffic ambiance and a crowd of people talking,a train horn whistles as it passes by
a person speaks and a vehicle engine runs,a person burps loudly for a long time nearby,an extended rattling sound,a man burps for an extended amount of time,a person is burping without stopping,a machine cutting
rain falls on a surface as thunder runs,rain falls on a hard surface while people speak,rain falls and people speak in the background,rain falls onto a hard surface while wind blows,heavy rain falls and splashes as wind blows,rain falls onto a surface and wind blows
,an insect buzzes around continuously,an insect buzzes around continuously,insects buzz and fly,an insect buzzes then stops,an insect buzzes around continuously
a person speaks and a vehicle engine runs,a material is crumpled while a woman talks,paper crinkles and a woman speaks,paper is crumpling while a woman speaks,a woman speaks while crumpling plastic,someone crumples plastic and speaks
birds are chirping and a person speaks,pigeons vocalize and a child speaks,pigeons vocalize and birds chirp while a child speaks,a child vocalizes and a woman speaks while birds vocalize,pigeons coo with a baby and woman speaking at the end,pigeons coo while a baby speaks in the background
a person speaks and a vehicle engine runs,multiple insects buzz over rustling wind,bees buzz as wind blows,bees buzz and wind blows,bees buzz as wind blows,many insects buzz as a wind lightly gusts
wind blows hard as water splashes and a person speaks,a large engine roars and a strong wind blows,wind blows as a boat moves through the water,wind blows and water splashes,a boat moves while wind blows strongly,wind blows as water flows quickly
a person speaks and a vehicle engine runs,distant spraying is followed by a buzzing insect,an insect buzzes around,insects buzz around a microphone,birds chirping followed by a bee buzzing,an insect flies around buzzing
a vehicle engine is running and revving up,a helicopter engine runs continuously,a helicopter flies away,an engine chugging consistently,a motor whirls and sputters,a motor sputters and runs choppily
a man speaks and a vehicle engine runs,a man speaks and birds chirp in the distance,men speak as wind blows and insects buzz,men speak and insects buzz as the wind blows,wind blows and men speak,a man speaks quietly as a buffeting wind blows
a machine runs and a person speaks,water is sprayed across a hard surface,someone sprays liquid onto a hard surface,water is sprayed across a firm surface,a liquid is sprayed onto a hard surface,someone sprays a liquid onto a hard surface
a man speaks and a vehicle engine runs,a guy sneezes followed by another guy speaking and whistling and then a pigeon coos,men speak and whistle while pigeons vocalize,men speak and whistle as pigeons vocalize,men speak and pigeons vocalize,several men talk and someone whistles followed by pigeons cooing and flapping wings
a vehicle engine is running and revving up,popping and crackling repeats as men yell and laugh,a vehicle is running and crackling and popping as people laugh,people yell and laugh as a motor sputters and pops,men screeching and shouting while a vehicle is revving and backfiring loudly,people yell and laugh as a vehicle approaches and sputters
a person speaks and a vehicle engine runs,an animal bleats and cries out and metal bangs,a goat bleats briefly,a goat bleats briefly,clanking followed by baaing and banging,animals bleat and baa and metal bangs
a clock ticking and a person speaks,a clock alarm sounds and gears turn,a large bell chimes back and forth loudly,clocks chime whirl and tick simultaneously,a bell rings multiple times,a clock rings and ticktocks
a vehicle engine is running and revving up,water splashing and wind blowing as a powerful engine roars,powerful vibrations of an engine with wind blowing hard,humming of an engine with wind blowing hard,an engine roars,waves crashing as wind blows and an engine roars
a vehicle engine is running and revving up,humming and rattling of an engine idling as it revs,motors run and accelerate then slow to a stop,a vehicle engine accelerates briefly,an engine revving and then slowing,a motor revs loudly and then decreases
a man speaks and a vehicle engine runs,male speech with light ticking,a man makes an exclamation then another man speaks,an adult male speaks,a man speaks and a clock ticktocks,a man speaks in a quiet space
a dog barks and a man speaks,a dog whimpers as someone inhales/exhales briefly,a dog whimpers and someone blows,an animal whines and yips over brief heaving breathing,a dog whimpers and a person inhales/exhales quickly,a dog whimpers and a person inhales and exhales quickly
a vehicle engine is running and revving up,a man speaks as a motor runs in the background,a car revs noisily while a man speaks,a vehicle engine is idling as a man speaks,a machine vibrates nearby while a man speaks,a motorcycle engine is revving while a man speaks
a man speaks and a vehicle engine runs,ducks quack and people speak,duck quacking then men voices and multiple gunshots,gunshots are fired leading to a man speaking and a bird chirping,ducks quack as a man speaks and taps on an object,tapping occurs and men speak
a man speaks and a vehicle engine runs,some men converse over an engine running,a motorcycle engine revs and a man speaks,a man speaks as a small engine revs,a motorcycle engine revs as a man speaks,a motorcycle engine runs and a man speaks
birds are chirping and a person speaks,a pigeon cooing as an insect buzzes by briefly,birds coo incessantly,birds chirping and rustling,a bird vocalizes repeatedly,a bird vocalizes repeatedly
birds are chirping and a person speaks,piano music plays as water runs and birds chirp,music is ongoing while water gurgles and splashes and a bird chirps and sings,waters flows as music plays and birds chirp,music plays and water flows before a bird chirps,gentle music underscores a chirping bird
a person speaks and a vehicle engine runs,speech plays from a radio with beeping and sharp tones,birds chirp loudly as a woman speaks on the phone,a woman talks via radio transmission with a strong interference,animals grunt and fidget as birds chirp,people speak through a radio while it makes frequency noises
a vehicle engine is running and revving up,a man talks as several small engines run,a man speaks while there is a buzz in the background,a man speaks over multiple motors running,someone speaks while engines buzz by,a man speaks on an intercom as speedboats pass by
a machine runs and a person speaks,a power toll is at work while it buzzes,a drill runs briefly then stops before running again,a power tool is drilling then stops then continues drilling,a small motor runs quickly,a drill runs continuously before stopping abruptly
a man speaks and a vehicle engine runs,a man speaks as a car is passing by,a man speaks as a car is passing by,a man talks while vehicles pass by,a man speaks and wind blows while a car is passing by,a man speaks while wind blows and a car is passing by
a person speaks and a vehicle engine runs,a sheep baa followed by birds chirping and then more sheep baaing,a goat bleats and someone makes a calling noise,a man whistles as livestock bleat and jostle around,a goat bleats and someone whistles and makes a kissing noise,a goat bleats thereafter a birds chirps
a man speaks and a vehicle engine runs,male speech followed by light wind rustling distant speech and brief hissing,a man speaks briefly before being sprayed with a liquid,a man speaks wind blows and a machine makes a spraying sound,a man speaks before a liquid is sprayed,a man speaking followed by a man in the distance then a short burst of air spraying with wind blowing
a machine runs and a person speaks,distant men speak as a spray can nozzle is depressed,while a man talks in the distance a sprayer sprays multiple times,intermittent spraying is accompanied by men speaking,a spray hisses followed by a man speaking and low rumbling in the background,a person sprays liquid onto a hard surface as a man speaks and vehicles pass by
a vehicle engine is running and revving up,a vehicles accelerate quickly and someone laughs,a vehicle engine is revving then accelerates quickly,a vehicle accelerates quickly squealing tires and someone laughs,a motor revs then fade into the distance,a car accelerating and roaring as it speeds by followed by a man laughing
a man speaks and a vehicle engine runs,an engine runs and a man speaks,a man speaks while wind blows,a motor runs and fades as an adult man speaks,motorboat engine sound followed by a man talking,a man speaks nearby as machinery hums in the background
a clock ticking and a person speaks,a clock ticktocks briefly,a clock ticks quietly and rhythmically,a clock ticktocks briefly,a repeated ticking while cars drive by in the distance,a clock ticktocks and wind blows
a man speaks and a vehicle engine runs,a man speaks and moves objects around,a man talking clicking of spice jars,a man speaks and uses a grinder,a man speaks and uses a pepper shaker,a man speaks and uses a grinder
a machine runs and a person speaks,a machine hums followed by a buzz,a small engine whines as it operates,a machine hums,a power tool runs continuously,a machine vibrates for a long time
a clock ticking and a person speaks,a clock ticktocks and rings out,a clock ticktocks and rings out,a ringing of a bell with constant ticking of a clock and some vibrations,the ringing of a clock bell with the consistent ticking of a clock,a clock chimes ticks then chimes again
birds are chirping and a person speaks,birds fly and flutter around,birds flutter and flap their wings while chirping,birds flutter around and flap their wings,birds coo and flutter here and there,birds vocalize and walk around
a vehicle engine is running and revving up,a vehicle comes to a stop and a horn blows,air brakes are released followed by a loud air horn,metal clangs and a horn honks,metal squeals and then a musical horn blares,an engine hisses and a loud horn honks
a man speaks and a vehicle engine runs,two men and a woman talk while wind blows and birds tweet,bird squawks are accompanied by a man and woman speaking,people speak and birds chirp,two men talk over blowing wind and bird chirps,a man and woman speak outside as the wind blows
a toilet flushing,a toilet flushes and a female speaks,a toilet flushes and water drains,a woman pulls on a toilet handle the toilet flushes and liquid flushes down the toilet as the woman declares that she is done,a toilet is flushed and a female speaks,clicking followed by a flushing toilet and a child speaking briefly
a vehicle engine is running and revving up,a motor runs in the distance as a soft wind periodically gusts,a diesel truck engine runs while wind blows,the wind blows while a vehicle engine runs,wind quietly blowing,a truck engine runs while wind blows
a person speaks and a vehicle engine runs,long loud burping by a man,a person is burping loudly,a loud long burp followed by some clanking,a man burps loudly repeatedly,a person burps
a vehicle engine is running and revving up,a vehicle is skidding and squealing tires,motors run loudly as tires screech around a turn,engines race as multiple tires screech,a race car accelerates squealing tires,engines roar and race as tires screech and squeal
a vehicle engine is running and revving up,a woman speaks as she walks along a river,a woman speaks while water runs,a woman walks while walking along a stream of water,a woman talks while liquid flows,a female speaks as water rushes in the background
a person speaks and a vehicle engine runs,wind blows and women speak as livestock vocalizes,wind blows and people talk while livestock vocalizes,wind blows and women speak as livestock vocalizes,two woman speak while bells ring in the distance,women speak among themselves while outside the wind blows strongly and wind chimes move in the wind
water is running and a person speaks,water is gurgling in a close space,water splashes continuously,water is splashing loudly,water splashes and is gurgling in a closed space,water splashes and gurgles
a vehicle engine is running and revving up,a vehicle engine is revving the idles,a rough engine revs and sputters,humming and rattling of an idling and revving engine,a car revs loudly a few times while idling,a vehicle is revving and grooming
a dog barks and a man speaks,a dog barks and whimpers,a dark barks and whimpers,a dog barks and whimpers,loud barking followed by whining and then more barking,a dark barks and whines
a woman speaks and a vehicle engine runs,a young female speaks followed by spraying and a female screaming,a girl speaks followed by a scream and more girls talking,a young woman speaks over spraying and another person yells,female speech followed by hissing hollering and more speech,a girl speaks with spraying followed by a woman screaming in the background and then two girls converse
a baby cries and a woman speaks,a baby laughs giddily and a woman laughs then speaks,a child laughs continuously,a baby laughs then a woman speaks and the baby laughs again,a baby laughs as a woman speaks to it,water drips in the background while a kid and baby laugh
a vehicle engine is running and revving up,a man speaks as a motorboat engine idles,a motor runs in the background as a man speaks briefly,a man speaks and a quiet engine runs,a man speaks while an engine idles,a man speaks as a motorboat runs
a person speaks and a vehicle engine runs,a person whistles and clicks a mouse,someone whistles nearby,a person whistles tapping a desk before clicking a mouse,a person whistling lightly,a person whistles
a person speaks and a vehicle engine runs,low humming with a clock ticking and birds chirping,a clock ticktocks in wind,loud background rumble with ticktock and birds chirping,a clock ticktocks and birds chirp,a jet engine sounds as a ticktock occurs and beeping takes place
a vehicle engine is running and revving up,a truck engine accelerates as wind blows,vehicle pass by on a road,a vehicle accelerates as road noise occurs,a car drives along a busy road other cars drive as well,vehicles pass by on a road
a man speaks and a vehicle engine runs,a woman speaks while birds squawk in the background,a woman speaks as a small motor runs and animals vocalize,a woman speaks over sink noises and a child,a woman speaks whiles air hisses and birds caw in the background,a woman speaks and moves dishes around as a small engine runs
a man speaks and a vehicle engine runs,a man talks followed by a woman shouting,a man speaks as water overflows making a hiss noise and a woman yells,a man speaks then a woman yells,a man speaks then a woman panics,an adult man speaks and a woman exclaims nervously
a machine runs and a person speaks,an small aircraft engine runs and a boy speaks,an electric engine works nearby followed by a child talking,a toy helicopter flying followed by a kid talking,a small engine runs and a young person speaks,over a running engine an excited child voice yells out
a person speaks and a vehicle engine runs,a fly buzzes around loudly as birds chirp,an insect buzzes around,insects buzz over chirping birds,a few chirps from birds and croaks from an insect then a bug buzzes by,birds chirp softly as insects buzz
water is running and a person speaks,water gurgles metal squeaks and the water stops,water flows and gurgles to a stop,water pours and then splashes nearby,a toilet flushes and water drains,water burbles and metal squeaks as the water stops
a person speaks and a vehicle engine runs,a frog croaks as other frogs croak in the background,frogs croak and vocalize,many frogs croak continuously,nighttime animals are punctuated by a loud frog,a frog croaks and makes noises
a vehicle engine is running and revving up,a machine whirls,a motor runs and then stops suddenly,a whirring motor runs and stops suddenly,a small motor whine then shuts off,hissing and vibrating followed by a loud click
a woman speaks and a vehicle engine runs,an adult woman speaks over chopping and silverware noises,a woman speaks followed by clicks and scraping,a woman speaks and uses cutlery while music plays,a woman speaks while using cutlery and music plays,a woman speaks while music plays in the background as she uses cutlery
a vehicle engine is running and revving up,vehicle engines race around a track as a man commentates,vehicle engines accelerate as a man commentates on an intercom,several cars move nearby while people talk,motorcycles pass by as a man speaks into a loudspeaker,motors sputter over an indistinct conversation
a woman speaks and a vehicle engine runs,a cat meows as a young woman speaks,a cat meows and children speak,cats meow and then a person begins to talk while the cats continue to meow,a cat meows as a woman speaks,a cat meowing a young girl speaking and meowing after the cat
a person speaks and a vehicle engine runs,some tunes played by whistling,a person whistles a tune,a person whistles a tune,a person is whistling,a person whistles nearby several times
a vehicle engine is running and revving up,an engine runs loudly,propeller rearing loudly with some male and female voices interspersed in the background,loud continuous buzzing with distant murmuring,a propeller on a helicopter runs rapidly and loudly,a helicopter propeller swings around loudly
a man speaks and a vehicle engine runs,a man speaks with another voice speaking in the background,continuous speech and sizzling,a man speaks while the tv sounds loudly in the background,a man speaks while the television plays in the background,a man speaks while a television plays in the background
a vehicle engine is running and revving up,waves crash against a shoreline and wind blows,water splashes and waves crash against a shoreline,waves crash against a shoreline while birds chirp,waves crash against an ocean shore while the wind blows,ocean waves crashing as water trickles and splashes while wind blows into a microphone alongside seagulls squawking in the background
a vehicle engine is running and revving up,here comes the train and it starts to blow the horn and get close,a train horn sounds and railroad crossing ring,a train horn sounds and approaches as crossing bells ring,a horn is blown and increases in strength,a horn loudly blares
a machine runs and a person speaks,a machine beeping followed by a kid screaming,a long beep is heard several times as a young girl screams once,a telephone rings and a door squeaks,a phone rings and an animal vocalizes in the background,a series of tones play and something screams in the background
a person speaks and a vehicle engine runs,a man is snoring loudly and repeatedly,a person snoring,someone snores lightly while sleeping,someone snores while sleeping,a person breathes thickly and snores
a vehicle engine is running and revving up,a motor runs as water splashes and a man speaks then another man speaks,some liquid splashes while a vehicle passes by and a man talks,water moves and a man speaks as a boat passes by,a speedboat driving by as two men talk while water splashes and trickles,a boat passes by on the water and a man speaks
a vehicle engine is running and revving up,a harsh wind blows as a man speaks and another man speaks,two men speak as a buffeting wind blows,a man speaks and wind blows,a man speaks while wind blows,a man speaks while wind blows
a man speaks and a vehicle engine runs,a man speaks while ducks honk and birds vocalize,ducks quacking rapidly with distant murmuring,a man speaks as several birds chirp with honking geese and rustling,ducks quack as a man speaks,ducks quack loudly and repeatedly while men speak and a dog barks
a baby cries and a woman speaks,a baby cries out once while a person continues to laugh,a baby is crying and someone laughs,a baby cries and a person laughs,a baby cries as a person laughs,a baby cries and a woman laughs
,sirens ring and approach with humming of distant traffic,a police siren blares,a siren blares,a siren wails loudly,a siren wails and then interrupted and wails again
a person speaks and a vehicle engine runs,loud continuous burping,someone is burping continuously,burping occurs repeatedly,rhythmic burping repeats and modulates,loud repetitive burping
a person speaks and a vehicle engine runs,a light breeze blows as distant insects buzz and birds chirp,birds chirp and the wind blows as insects buzz,birds sing wind rustles and insects buzz,insects buzz and birds chirp,the wind is blowing birds are chirping many flying insects are buzzing and random whooshing and thumping occur
a man speaks and a vehicle engine runs,a man speaks and a rooster crows while men talk in the background,a man speaks while a rooster crows and other people speak in the background,a man speaking in the background with another man talking followed by a rooster crowing and light wind blowing in a microphone,a man speaks while a rooster crows and people talk in the background,a man speak while outside the wind blows lightly and birds chirp in the background
a train horn blows and a person speaks,a horn blasts as warning bells ring,a train horn sounds as a railroad passing bell rings,the clinking of a train bell with the humming of an engine and a train horn blowing,train horn blows while railroad tracks clickety-clack,a horn honks followed by a bell tinging
a vehicle engine is running and revving up,dishes cling together then a man begins to speak,metal rumbles followed by a kid giggles then more metal rumbling followed by a guy speaking,pots and pans clash together as a child laughs,objects continually beat onto a hard surface,loud rapid clanking followed by brief speech
a person speaks and a vehicle engine runs,a girl talking laughing and sneezing noise,a young woman laugh while speaking and another woman sneezes,a child speaks and laughs before another sneezes,a woman talks and laugh while someone sneezes,a young girl speaks then a person sneezes
birds are chirping and a person speaks,birds chirp and pigeons vocalize as a vehicle passes by,birds chirp and pigeons vocalize as a vehicle passes by,bird chirp and pigeons coo,birds chirp and pigeons vocalize as a motorcycle passes by nearby,birds chirping and cooing
a person speaks and a vehicle engine runs,a bird chirps followed by a door bell ringing that causes a woman to gasp and the music plays,birds chirp then a doorbell rings and a woman sighs when a doorbell rings,a bird chirp followed by a door bell that leads to a woman gasping and then some music plays,birds chirp followed by some dings a woman gasping and some music,a bell chimes quietly while a bird chirps and a woman gasps as ominous music plays
a toilet flushing,a toilet flushes and water sputters as it drains,a toilet is flushed nearby,a toilet flushes and drains speedily,a toilet flushes and water drains,a toilet flushes and water drains out
a baby cries and a woman speaks,an machine runs and a baby cries,an infant cries briefly,an infant briefly cries and stirs,a baby cries briefly,a motor runs and a baby whines and cries for a moment
rain falls on a surface as thunder runs,a storm rolls by as thunder and lighting strike in the distance,rain falls onto a hard surface as thunder roars and wind blows,rain falls strongly while wind blows followed by thunders,rain falls on a hard surface and thunder roars,rain falling while thunder roars in the distance as water lightly trickles and wind blows into a microphone
a vehicle engine is running and revving up,a small engine spits as it runs,a diesel truck engine runs continuously,a diesel truck engine idles outside,an engine runs loudly,a diesel truck engine runs steadily
a vehicle engine is running and revving up,a vehicle passes by as people speak and ducks vocalize,vehicles pass by as people speak and ducks chirp,people speak and as ducks quack,people converse as wind blows and birds chirp,several people chatter over a motor noise and a rustling breeze
a person speaks and a vehicle engine runs,a person snores while sleeping,a person is snoring while sleeping,snoring intermittently,someone snores while sleeping,a sleeping male snores and inhales loudly
a machine runs and a person speaks,a telephone rings and a bird vocalizes,a squeal and a phone rings two times and stops,a telephone rings continuously before being picked up,a loud continuous ringing,a telephone rings then is picked up
a vehicle engine is running and revving up,a vehicle engine runs and wind blows before women yell,water flows followed by women screaming,water splashes and a motorboat passes as people yell,wind blows and people scream while an engine revs,wind blows and water flows before people cheer
a vehicle engine is running and revving up,a motorcycle engine is idling,a vehicle engine runs and slows,a motorcycle engine revs then begins idling,a sputtering engine runs,a vehicle that is idling
a baby cries and a woman speaks,an infant crying frantically,a couple of babies are crying loudly and intensely,a baby crying loudly,a couple of babies cry loudly and intensely,two babies cry
a vehicle engine is running and revving up,a loud engine muffles a man as he speaks,humming from an engine with passing traffic and a man speaking over a radio,an engine running consistently and quietly with distant speech,a helicopter engine idles and someone speaks,an aircraft engine runs while a man speaks
a train horn blows and a person speaks,a horn rings out as a machine runs by,a rumbling clap in the distance followed by a horn and the rumbling grows louder,a train horn sounds as the train approaches,a train horn blows as the train approaches,the clickety-clack of a train on rails then a train horn blows and the train goes by closely
a person speaks and a vehicle engine runs,goats bleat and metal clings,goats and sheep bleating with the clanging of metal grates,metal clinking and rattling with sheep bleating,objects are clanking against other objects and moaning animals make noises on a farm,metal clangs while goats baa
a baby cries and a woman speaks,a child laughing and giggling with white noise,a baby giggles and laughs as birds chirp,a baby laughs happily,a child laughs continuously,a young person laughs with delight
a vehicle engine is running and revving up,rain falls on a hard surface,rain ruffles against a hard surface outside,rain falls strongly,a steady stream of water flows,heavy rain falls in a surface
rain falls on a surface as thunder runs,water pouring and thunder booming in the distance,rain falls onto a hard surface and thunder roars,rain falling with thunder rolling and cracking,water pours while thunder claps in the background,rain drops falling against a hard surface as thunder is heard in the distance
a person speaks and a vehicle engine runs,a horse runs while two women talk,a woman yells and speaks as birds chirp in the distance,a camera rustles around as birds chirp and women speak,a tapping occurs and a girl speaks,a woman yells and fidgets over insect noises
a person speaks and a vehicle engine runs,paper is crumpling consistently,a packet is being crinkled and crumpled while being opened,paper crinkles and tears,rustling followed by an object ripping,paper is crumpled and torn
a person speaks and a vehicle engine runs,wind blows in gusts as a woman speaks in the distance,birds chirp in the distance followed by light clopping and a woman speaking,high winds while dog barking,birds chirp as a horse clip-clops in the distance followed by a woman softly speaking,a person speaks while wind blows
a person speaks and a vehicle engine runs,birds chirp and objects are moved around,insects buzz around and a person grunts,several bees fly nearby while birds tweet far away,birds chirp as insects buzz in the foreground,several insects flies far away while birds tweet
a vehicle engine is running and revving up,wind blowing followed by a zoom,a low rumbling in the distance followed by a motorcycle engine revving up,vehicles pass by as wind blows,white noise and light wind with an engine running quietly,a low hiss in the distance followed by an engine rev
a person speaks and a vehicle engine runs,two frogs croak at each other,a frog vocalizes very loudly,a frog vocalizes loudly,a frog croaks repeatedly,an animal makes a squawking bleat
a person speaks and a vehicle engine runs,a telephone rings followed by a woman talking,a telephone rings then a woman begins speaking after it is answered,a phone rings and a recorded female voice speaks,a phone rings and a female recorded voice answers and speaks,a telephone rings and a woman begins speaking
a vehicle engine is running and revving up,an airplane engine runs,a airplane engine runs consistently and speaking occurs on a radio,water rushes followed by a whistle,an airplane moves far away,several motors roar as a man speaks
a vehicle engine is running and revving up,a vehicle engine accelerates and wind blows,a vehicle accelerates and squeals tires,a motor revs off into the distance against light winds,a vehicle accelerates squealing tires,a vehicle accelerates and moves away
a person speaks and a vehicle engine runs,a sleeping person emits a gravely snore,people speaking indiscriminately in the distance with a person snoring loudly nearby,a person is snoring while sleeping,someone snores close by,someone snores while sleeping and people talk in the background
a train horn blows and a person speaks,a train whistle keeps going off while the clickety-clack of the train on the rails are continuous,a horn blows as a train chugs along and warning bells ring,a train horn sounds as it passes by,rustling and clinking of metal followed by a train whistle,a horn blares repeatedly against a backdrop of clanging metal and chugging machinery
a vehicle engine is running and revving up,men speak as an engine revs to life,several men chatter as a motor starts and powers up,a man speaks then a car begins revving,people speak before a vehicle begins revving,several men talk while objects are tapped followed by an engine working in idle
a person speaks and a vehicle engine runs,rapid beeping followed by bleeping and then buzzing,a beep repeats continuously,an alarm beeps continuously,a electronic buzzes repeatedly,sharp staccato beeping repeats and repeats
a vehicle engine is running and revving up,white noise and vehicles passing by faintly,several vehicles accelerates and start moving skidding,a vehicle revs its engine then accelerates,a vehicle revs several times then speeds up quickly,a vehicle engine revs then accelerates
,people speak as gunfire rings out,a man speaks followed by loud bursts of gunfire,a machine gun fires multiple times,people speak and a machine gun fires,a gun is shot several times
a vehicle engine is running and revving up,a train engine runs and a horn blows,a train horn blows while an engine runs,humming and vibrations followed by the blowing of a horn of an oncoming train,a train whistle sounds as a train engine runs steadily,a whistle blows as a running motor nears
a vehicle engine is running and revving up,a door opens and closes,a motor noise is accompanied by a door opening and closing,a door opens and closes repeatedly,a door open and closes as a fan runs,a door opens and closes then repeats
a person speaks and a vehicle engine runs,wet smacking and rustling,a duck eats food as a dish rattles,someone blows bubbles in water,a quite rumbling getting louder,a bird makes puttering sounds repeatedly
a vehicle engine is running and revving up,water flows as men speak and yell,three men talk while wind blows and some liquid flows,water flows quickly and a man speaks while other people yell,water splashes as a man speak nearby followed by a man 's voice in the distance and a woman 's brief gasp,three men talk while wind blows and liquid flows
a person speaks and a vehicle engine runs,a person is whistling a tune,a person is whistling,a person is whistling a tune,someone whistles a tune very smoothly,a meandering tune is whistled
a train horn blows and a person speaks,a train horn sounds as it passes by,a train horn blows as a train speeds by with rumbling tires and squealing brakes,a train passing with a honking horn and sharp clicks,a train engine sounds as it passes by,a horn blares and metal squeals
a vehicle engine is running and revving up,people speak on a moving vehicle,people converse quietly as an engine runs,a series of vehicle beep and clanks are followed by low voices communicating in the background,a few people speak as a quiet engine runs,passengers talk on a moving bus
a vehicle engine is running and revving up,an emergency vehicle is traveling with loud sirens,an emergency vehicle siren wails continuously,distant rings of sirens ring out loudly,a loud siren plays,vehicles move and sirens are triggered getting closer
a baby cries and a woman speaks,a baby cries and wails as an adult female speaks,an infant cries and a woman speaks,a baby cries and babbles as a woman speaks,a baby fusses and cries as a woman speaks curtly,a baby cries and screams followed by a woman talking
birds are chirping and a person speaks,multiple birds vocalize and wind blows,birds vocalize and a turning sound occurs,birds chirp in the distance as some rustling in the background,birds chirp as a far-off engine turns over and wind blows momentarily,chirping and clanking
a vehicle engine is running and revving up,people applaud and hoot and chat quietly,people clap and speak in the distance,a small group applauds and cheers then settles down,people give applause in a large hall,an audience gives applause then people speak
a woman speaks and a vehicle engine runs,a woman speaks and a child laughs,a woman speaks as a child vocalizes,a woman speaks playfully as a baby babbles,a woman speaks and a child vocalizes,a woman speaks while a baby laughs and speaks
a man speaks and a vehicle engine runs,a man speaks and is typing on a keyboard,an adult speaks and is typing on a computer keyboard,a man speaks and begins typing on a keyboard,a man speaks then is typing on a computer keyboard,a man talks while someone briefly types a keyboard
a person speaks and a vehicle engine runs,banging metal then crinkling paper followed by a woman mumbling and a man grunting,someone shuffles around objects and sighs,a door opens and plastic is crumpled,a clang followed by some plastic rustling,paper rustles as objects bang and clatter
