caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
a bus engine is running and a person speaks in the background,beeping with men speaking faintly in the distance with an air release,a truck engine running as a man yells in the distance followed by steam hissing as vehicles drive by in the background,truck engines are running a shrill back-up alarm rings air brakes engage and adult males are talking in the background,whistling and humming with men speaking in the distance,a truck engine running while warning beeps sound followed by a man yelling then compressed air releasing,a bus is passing by,a bus engine is running and a person speaks in the background
a train horn blows and a train passes by,a train running on railroad tracks as a train horn blows and steam hisses,a passing train clacking with a long horn blowing,loud hissing followed by a loud continuous horn and brief clanking,a train running on railroad tracks followed by a train horn blowing and steam hissing,a train horn gets louder as train approaches and passes by,a train horn blows and a train passes by,a train horn blows as a train passes by
a woman speaks and a motor runs,a bus is idling when a voice from a speaker starts to talk,humming of a loud engine with a woman speaking over a loudspeaker,humming of an engine with a woman speaking over a loudspeaker,bus engine going then an announcers female voice speaking,a muffled bus engine running as a woman speaks over an intercom,a woman speaks and a motor runs,a woman speaks while a motor hums
a vehicle engine revving and accelerating,loud vibrations from a revving engine that increases,loud high frequency buzzing and revving of a propeller,aircraft engine revs and creates propeller which,a power tool motor running then revving,a motor is revving up,an engine revving and revving,a vehicle engine revving and accelerating
a sewing machine is being used,car engine running and then slowly turning off with a loud stuttering noise going off twice with slight pause between,a motor vehicle engine is idling,a large motor vehicle engine is idling then it labors and creaks,a vehicle 's engine starts to die down,an engine running and then revving,a sewing machine is being used,a sewing machine is in use
a man is speaking and a vehicle engine is idling,two adult males speak while a motorcycle engine idles and people talk in the background,people are talking as an engine is running,two men talking as a motorcycle engine runs idle and a group of people laugh,a group of men talking with each other as a motorcycle engine is running idle,men are communicating as a motorcycle engine idles,a man is speaking and a vehicle engine is idling,a man is speaking and a vehicle engine is running
a man speaks while music plays,a man talking as music plays followed by a guitar strumming as steam hisses in the background,a man talking followed by footsteps on gravel as guitar music is playing,a man talking as a woman talks in the distance while light music is playing followed by a guitar strumming and footsteps walking on gravel,a man speaks as music plays followed by footsteps,a man is speaking as music plays followed by musical instrument sounds,a man speaks while music plays,a man speaks while music is played
people speak and laugh,someone belches followed by a group of people laughing and talking then a man talking in the foreground,a person burping followed by a group of people talking and laughing with a man talking in the foreground,a loud belch followed by male human voices,a person belching followed by two men talking then a group of people laughing,burping and then various speech and laughing,people speak and laugh,people speak and laugh as a man speaks
a man speaks while food sizzles,food and oil sizzling followed by oil popping then steam hissing as a man talks and light music plays in the background,sizzling and male speech with more sizzling,food and oil sizzling followed by steam hissing as a man talks and light rock music plays in the background,food and oil sizzling followed by steam hissing as a man talks while music plays in the background,food sizzles as a man speaks with music playing,a man speaks while food sizzles,a man speaks as food sizzles
a person sneezes and then sneezes,an insect buzzing as plastic clacks and plastic slaps a hard surface,an insect buzzing as plastic clacks then slaps a hard surface in the background,flying insects are buzzing,buzzing from a nearby insect,buzzing and scratching with some light banging,a person sneezes and then sneezes,a door opens and then closes
a man speaks and types on a keyboard,typing on a keyboard with a man speaking,male speaking then typing computer keyboards,clicking on a keyboard with a man speaking,clicks followed by a man speaking then typing on a keyboard,typing on a computer keyboard followed by a computer mouse clicking as a man sniffles before talking,a man speaks and types on a keyboard,a man speaks while typing on a keyboard
a woman speaks and a machine beeps,an adult male speaks hesitantly and electronic beeps randomly occur,a man speaks followed by a digital beep,beep then male speaking multiple times,a male speaking and repeated beeps,a man talking followed by several electronic beeps,a woman speaks and a machine beeps,a woman speaks followed by a beep
a man speaks while pigeons coo and flap their wings,a man is speaking with bird sounds in the background followed by a whistling sound,a man talking as a person hisses while pigeons coo and bird wings flap in the background,a man talking as pigeons are cooing and birds are chirping with bird wings flapping,a man speaks as birds call and pigeons coo,a man speaking as someone hisses while pigeons are cooing and bird wings are flapping,a man speaks while pigeons coo and flap their wings,a man speaks as pigeons coo and flap their wings
a spray is released,water spraying on a plastic surface,continuous spraying up and down,hissing spray is occurring and liquid is pattering on a surface,high powered hissing and wind blowing,continuous spray,a spray is released,a spray is released nearby
a woman speaks and then sneezes,a woman speaks with flapping wings and chirping birds,a woman speaks followed by birds chirping,a woman talking then laughing followed by plastic tapping and birds chirping in the background,female speech and laughter followed by birds chirping and rustling,a woman speaking with a chuckle followed by a bird chirping,a woman speaks and breathes,a woman speaks and then sneezes
a toilet flushes loudly nearby,an idle vehicle engine running as wind blows into a microphone,camera muffling and wind blowing into a microphone as a vehicle engine runs while idle,car engine idling,a loud engine idling,hissing and vibrating from an idling engine,a toilet flushes loudly,a toilet flushes loudly nearby
a woman speaks and a goat bleats,two woman communicating with each other as a goat is baaing,a woman talking followed by another woman talking as a goat is baaing,women speak and a goat bleats,two women talking then laughing as fabric shuffles followed by a goat baaing,a woman speaking followed by another woman talking followed by a goat baaing as cloth rustles,a woman speaks and a goat bleats,a woman speaks and a sheep bleats
water is splashing and gurgling and gurgling and gurgling and people are talking in the background,splashing water with children speaking and people screaming with a distant blow of a whistle,two quick whistle sounds with water splashing and mixed with kids playing,various speech and a whistle blown and water splashing,water running with clanking and children murmuring in the distance,water splashes with people speaking in the distance and a faint whistle,water is splashing and gurgling,water is splashing and gurgling and gurgling and gurgling and people are talking in the background
a loud explosion followed by a long explosion,a very low-pitched hum occurs followed by an explosion,synthesized rumbling followed by an explosion,a low loud hum gets lower followed by an explosion,a loud long explosion,mechanical growling followed by an explosion,a loud explosion,a loud explosion followed by a long explosion
rain falls and wind blows hard,rain and light thunder,rain pouring heavily as gusts of wind blow and thunder roars in the distance,thunder claps and rain falls hard splashing on surfaces,it is raining with wind noise,it is raining with strong wind sounds,rain falls and wind blows,rain falls and wind blows hard
a duck quacks loudly,a duck quacking followed by plastic camera muffling,a duck quacking followed by plastic camera muffling,a duck quacking followed by camera muffling,a duck quacking followed by plastic camera muffling,ducks quack as a stream burbles and low speech in the background,a duck quacks loudly,a duck quacks loudly nearby
a crowd of people are talking and clapping,firecrackers popping as a crowd of people cheer and whistle,firecrackers popping as a crowd of people cheer and whistle,several loud pops with people cheering,a crowd of people talk then cheer and whistle as firecrackers pop in the background,several clicks and pops with people cheering and yodeling,a crowd of people are talking and clapping,a crowd of people are yelling and clapping
a man speaks followed by sizzling and sizzling,whispering followed by loud consistent sizzling,a man talks followed by whispering and food sizzling,a man speaks followed by heavy sizzling,a deep voice followed by sizzling food,male speech and then sizzling,a man speaks followed by sizzling,a man speaks followed by sizzling and sizzling
a woman speaks followed by a toilet flushing,a female speaking and then a toilet flushing with multiple females speaking during and after,a woman talking followed by a young girl talking as a toilet flushes,a female speech and then a toilet flushing followed by a female speech,a young woman speaks loudly with a toilet flushing sound,speech followed by a toilet flushing and more speech,a woman speaks and flushes a toilet,a woman speaks followed by a toilet flushing
a clock ticking,a clock ticking followed by a some wooden clacking,a clock ticking,a clock ticking followed by a wooden latch opening,continuous quiet tick-tocking,repeated ticking culminates in a sliding click,a clock ticking,a clock ticking at a steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady static
dishes are clanging and pans are clanging,muffled sounds followed by metal being hit,some clicking and rattling followed by distant banging,wind noise followed by a tapping noise while people are talking in the background,rustling with some distant banging and people speaking in the distance,plastic crinkling followed by footsteps on concrete as metal clanging and a group of people talk in the background,dishes are clanging and pans are clanging,dishes are clanging together and pans are clanging
a woman speaks and insects buzz,speech and insects buzzing,woman speaking with fly buzzing around,a woman speaks with nearby buzzing of insects,buzzing and female speech,a woman speaks with nearby insects buzzing,a woman speaks and insects buzz,a woman speaks while bees buzz
a man speaks while water splashes,water lapping in waves as a man talking,man speaking water moving in background,a man talking as water splashes and gurgles and a motor engine hums in the background,a man speaks as water splashes,a man speaks while water slaps on a surface,a man speaks while water splashes,a man speaks as water splashes
rain falls and thunder roars,rain and thunder continuously,thunder is booming and rain is falling and pattering on a surface,rain and thunder,rain pours down with loud thunder,thunderstorm sounds while raining,rain falls and thunder roars,rain falls and thunder cracks
a pig oinks loudly,plastic camera muffling followed by a man yelling as a pig squeals,a pig squealing as a camera muffles and a man speaks briefly,a pig squeezing and male speech,squealing from a pig,a pig squeals and men speak,a pig oinks loudly,a pig oinks and a person laughs
water is flowing and gurgling,an idle helicopter engine running as birds chirp in the background,whirring and whooshing of a low helicopter,high pitched humming with whooshes of spinning helicopter blades,high-pitched turbine noise from helicopter rhythmic squeaking motor sound grows louder,blades of a helicopter spinning and getting ready to take off,water is flowing and gurgling,water is splashing and gurgling
a man talks while silverware sizzles,a man speaks with some clinking and clanking,man speaking and clinking dishes,a person speaks with distant humming and nearby clinking,cup being set down followed a man talking and mixing something in the cup,dishes clanking followed by metal clanking on glass several times as a man is talking,a man talks while silverware sizzles,a man talks while dishes clink
a woman speaks while something is tapped,water pouring from a faucet and draining into a pipe while a young girl talks followed by a brush scrubbing then a person spitting,a girl speaking and brushing teeth,water splashes followed by a girl speaking then scraping followed by spitting,a child speaks followed by scrubbing and spitting,splashing water followed by a girl speaking then scraping and spitting,a woman speaks while something is tapped,a woman speaks and moves to talk
a bell ringing loudly,large church bells ring as rain falls on a hard surface and wind blows lightly into a microphone,church bells ringing as a crowd of people talk in the distance while rain falls alongside wind blowing into a microphone,church bells ringing as rain pours and wind blows into a microphone,church bells tolling as wind blows into a microphone and rain falls on a surface,large metal bells are clanging in different tones and each ring pattern is echoed once,a bell ringing loudly,church bells ring loudly
a car engine revving and accelerating,race car revving its engine,humming of a loud powerful engine starting and speeding into the distance,loud humming of a car speeding into the distance with wind blowing and tires squealing,an engine revving,a vehicle engine accelerating and revving as wind is blowing into a microphone,a car engine revving and accelerating,a vehicle engine revving and accelerating
a man speaks followed by a beeping and a man speaking,a man making a horn sound and then speaking,a faint siren followed by a man speaking and wooing,male rapping and screaming,wooing with some humming,a man vocalizing a high-pitch sound and then speaking,a man speaks followed by a beeping and a man speaking,a man speaks followed by a beeping and a woman speaking
a woman is speaking,a woman speaking,a woman is speaking,a woman is giving a speech,female speaking continuously,a woman delivering a speech,a woman speaking,a woman is speaking
sheep bleat and people speak,rustling noises in the background while people talk and animals bleat,a sheep is bleating and a crowd is murmuring,sheep baaing with young female voice and wind gusts,sheep baaing as wind is blowing into a microphone while a crowd of people talk in the background,several animals are bleating and the wind is blowing while a group of people talk in the background,sheep bleat and people speak,a sheep bleats and people speak
a spray is released and a person speaks,continuous hissing and clanking,steam hisses and vibration occurs while a child speaks,hissing and chugging with brief muffled speech,hissing with some cracking and rustling,hissing with people speaking and some rattling,a spray is released,a spray is released and a person speaks
a man speaks followed by several gunshots and laughing,a man speaks followed by a loud burst then laughter,a man talking followed by footsteps shuffling then a loud popping explosion proceeded by a man laughing as music plays in the background,a man speaks followed by a loud bursts and then laughter,a man talking as music is playing in the background followed by a popping explosion then a man laughing,a man briefly talks followed by a loud burst then laughter,a man speaks followed by several gunshots and laughing,a man speaks followed by several gunshots and a woman laughing
a person is snoring,a person snoring,a person snoring,a person snoring,a person snoring at a rhythmic pace,a person snoring,a person snoring,a person is snoring
water is splashing and gurgling and people are talking in the background,a group of people talk as a man snores,a man snoring with children speaking in the distance and a woman speaking nearby,a person snores while people communicate,loud snoring sounds as people speak in the background and man and woman talk,a group of children talking in the background followed by a woman then a man talking as a person is snoring,water is splashing and people are talking in the background,water is splashing and gurgling and people are talking in the background
a vehicle engine is running and revving and then it accelerates,a muffled car engine revving several times as tires skid followed by a vehicle engine accelerating,race car engines revving through gears,tires squealing and an engine revving repeatedly,race car engine passing by along with tire screeching noises,engines hum and rev with squealing tires,a vehicle engine is revving up and then idles,a vehicle engine is running and revving and then it accelerates
a man speaks and then a dog barks,wood scrapping followed by a man talking as a dog barks in the background,scrapping and filing of wood followed by a man talking as a dog barks in the background,sanding and filing then a man speaks,rustling and rubbing followed by male speech,sanding and scraping followed by a man speaking,a man speaks and then a dog barks,a man speaks and then a dog barks and barks
a man speaks as insects buzz,bee buzzes while man speaks,male speech and a bug buzzing,a nearby insect buzzes with nearby vibrations,a man speaking with a buzzing sound in the background,a man speaking as an insect is buzzing,a man speaks as insects buzz,a man speaks while insects buzz
a man speaks while wind blows and a dog barks,a dog barking as a man is talking while wind blows into a microphone as birds chirp in the distance,a man talking as a dog barks in the distance while wind blows into a microphone,dog barking with win and man speaking,a man talking as a dog is barking in the distance and wind blows into a microphone,a man talking with a dog barking in the distance as wind blows into a microphone,a man speaks while wind blows and a dog barks,a man speaks as wind blows and a dog barks
a clock ticking and chiming,u a clock ticking followed by a cuckoo bird cooing then music playing,a clock ticking as plastic clanks followed by a cuckoo bird cooing then music box music playing,a clock ticktocks with music,ticking is ongoing soft clicking occurs and a cuckoo calls once followed by musical chimes,a clock ticking followed by plastic clacking then cuckoo bird cooing before bells chiming,a clock ticking,a clock ticking and chiming
birds chirp and a man speaks,a man speaking followed by footsteps on gravel as birds chirp in the background,birds are chirping in the background while an adult male speaks and footfalls occur,birds chirp and sing in the background while an adult male speaks and crunching footfalls occur,a man speaks with small birds chirping in the distance,a man is speaking as birds are tweeting,birds chirp and a man speaks,a man speaks while birds chirp and tweet
a vehicle engine is idling and a man is speaking over them,a man talking as a vehicle engine is running and wind is blowing into a microphone,a man talking followed by another man talking through a megaphone as wind blows into a microphone and a vehicle engine runs,a man speaks as an engine runs and wind rushes by another man speaks over a loudspeaker,a man talking as another man speaks through a megaphone as wind blows into a microphone and a vehicle engine runs,wind rushes by a motorcycle sounds a man speaks,a vehicle engine is idling and a man is speaking,a vehicle engine is idling and a man is speaking over them
a person is snoring and a woman is laughing,a girl laughing as a person is snoring,snoring is ongoing while an adult female laugh in the foreground and an adult male speaks briefly in the background,a female laughs snoring occurs and an adult male speaks in the background,snoring with some laughter,an adult female laugh while snoring is occurring and an adult male speaks in the background,a person is snoring,a person is snoring and a woman is laughing
a person speaks and a cat meows,a woman whispering then a baby cries the woman calls out loudly a male voice answers over the baby whining,a woman whispering then yelling as an infant is crying followed by a man yelling,a woman whispering then talking as an infant cries followed by a man yelling,a woman whispering then talking normally after an infant cries followed by a man shouting,a woman whispers then a baby cries in the distance the woman called and a man speaks,a person speaks and a cat meows,a woman speaks and a cat meows
a boat motor is running water is splashing and wind is blowing,a vacuum cleaner running as leaves rustle and a swarm of insects buzz while wind blows into a microphone,a vacuum cleaner is operating with wind noise,leaves rustling as a leaf blower operates and wind blows into a microphone,a machine running and minor rustling of leaves,wind is blowing while a vacuum machine is in use,a boat motor is running water is splashing and wind is blowing,a boat motor is running water is splashing and the wind is blowing
a man speaks while wind blows,man speaking with light wind sounds,a man is speaking as wind is blowing through the leaves,a man is speaking with the wind blowing in the background,a man speaking as wind blows through foliage and on a microphone,a man speaks with wind blowing and leaves rustling,a man speaks while wind blows,a man speaks while wind blows and waves crash
a man speaks and water splashes,a male speech and static,a man speaks with some mechanical humming and another man speaking faintly,a man speaking followed by another man speaking in the background during audio static,a man speaking softly,a man speaking with intermittent second man voice and white noise,a man speaks and water splashes,a man speaks as a boat engine hums
a bell ringing,a clock chiming,a clock ticking with a series of bell chimes,a clock ticking repeatedly,a clock chimes and ticktocks,a ticktock noise from a bell,a bell ringing,a bell ringing and a bell ringing
a vehicle horn honks several times,a horn beeping rapidly then a long loud beep,a bus is tooting the horn,a bus horn honking as wind is blowing into a microphone before a bus drives by,a vehicle horn is repeatedly tooting followed by a passing engine rumble,a large motor vehicle engine is running and a motor vehicle horn blows repeatedly and then stops,a vehicle horn honks several times,a vehicle horn honks and a vehicle engine runs
a vehicle engine idles and a car horn honks,a vehicle engine running then accelerating as a series of vehicle horns honk and a group of people talk in the background,hum of a loud engine with several horns honking,an engine revving followed by a loud honk then several other honks and a woman talking,group of cars are honking their horns and some people are murmuring at the end,a truck engine running and revving as several vehicle horns honk while a group of people talk in the background,a vehicle engine idles and a horn honks,a vehicle engine idles and a car horn honks
water is running and birds are chirping,a duck chirping as water lightly trickles and splashes,a bird chirps and water splashes lightly,water splashing and birds chirping,a small birds chirps as water splashes,chirping and water splashing lightly,water is running and birds chirp,water is running and birds are chirping
a dog barks and barks,a dog is panting barking and yipping,a dog barking and panting,a dog whimpering and barking while breathing rapidly,a dog is panting in a very fast tempo while barking few times,dog yapping and panting,a dog barks and barks,a dog barks and barks and a man laughs
a man speaks followed by water flowing from a faucet,metal squeaking and clanking followed by a man talking then a faucet pouring water,speaking followed by water running,some light clicks followed by a man speaking and water splashing,a man talking followed by a faucet running,metal squeaking then plastic clacking as a man is talking followed by a faucet pouring water,a man speaks and water runs,a man speaks followed by water flowing from a faucet
a person is snoring,a person snoring,a few loud snores,a person is snoring steadily,a person snoring,a sleeping person snores loudly,a person snoring,a person is snoring
water trickling and flowing,water trickling and pouring,water drips and splashes birds sing quietly in the distance,running and splashing water,water trickling several times,water trickling and lightly splashing followed by an animal hooting in the distance,water trickling and flowing,water is flowing and gurgling and gurgling
rain falls and birds chirp in the distance,rain falling as birds are chirping followed by thunder,wind with rain followed by thunder,rain pitter-patters as thunder cracks and the wind blows,bird wings flapping then a bird chirping while rain falls followed by thunder,rain and thunder in a storm,rain falls and birds chirp,rain falls and birds chirp in the distance
a spray is released,a machine is used to spray an object,a sprayer sprays with low machine noise in the background,a motor hums softly followed by spraying,white noise followed by a consistent hissing,short spraying that stops near the end,a spray is released,a machine works nearby
a woman speaks while food fries in a pan,a woman talking as food and oil sizzles and metal clacks in a pot followed by a girl speaking,sizzling and a female speaking,women talk while food fries,women talk over sizzling and clanking motor sound in the distance,frying food with the click tap of stirring,a woman speaks while food fries in a pan,a woman is speaking while food is sizzling in a pan
a woman speaks followed by a pig oinking,a woman speaks followed by groaning and grunting,a woman talking as a dog snorts followed by an air ventilation system running,an adult female speaks and an animal growls playfully,some rustling followed by a woman speaking with some groaning,a woman talking as a dog growls followed by a fan blowing air,a woman speaks followed by a pig oinking,a woman speaks followed by some light banging
a crowd cheers and cheers,a blaring siren from a vehicle passes by then echoes and fades into the distance,ringing of a siren of a passing vehicle,sirens ring as a vehicle speeds past,a police car with siren blaring approaches and then recedes,sirens blaring passes by and then diminishes in the distance,a crowd cheers and cheers,a crowd cheers and cheers loudly
an emergency vehicle siren is blaring,ambulance driving past the black car,sirens ring as a vehicle passes,emergency vehicle siren passing by then fading,an ambulance siren increases in intensity and then recedes as the ambulance drives away,vehicles driving by as emergency sirens sound,an emergency vehicle siren is blaring,an emergency vehicle siren is blaring and a horn blows
a dog is whimpering and a man is laughing,a man laughs followed by distant hums and birds chirping,laughing and a motor running with birds chirping,laughing and birds chirping with wind and an engine running,a man laughing followed by a muffled boat motor running as a man shouts in the distance during water flowing gently and seagulls squawking alongside wind blowing into a microphone,a man laughing followed by another man yelling in the distance then wind blowing in a microphone as a motor hums and birds chirp in the background,a dog is whimpering and a man is laughing,a dog is whining and a man is laughing
people speak and a baby cries,a baby cries and people are communicating,a child crying together with murmuring,a group of people talking as an infant cries while a muffled bus engine runs,a baby cries with a humming engine and some faint clicking,a child cries continually while a motor vehicle engine runs quietly and several adult females and adult males speak,people speak and a baby cries,people speak and a baby cries and a man speaks
water is rushing and people are talking in the background,water splashing with multiple voices in background,a man shouting as a stream of water splashes and a crowd of people talk in the background,a plastic clack followed by a man talking as a stream of water rushes and a crowd of people talk in the background,water splashes and a man speaks,water is falling splashing and gurgling a crowd of people talk in the background and an adult male speaks in the foreground,water is rushing and people are talking in the background,water is rushing and gurgling and people are talking in the background
a crowd of people applauding and cheering,a crowd applauds and there is a muffled speaker in the background,loud crumpling followed by loud high pitched buzzing,a crowd of people applauding followed by a woman speaking,applause and some muffled speech,a quick repeat of applause followed by continued applause,a crowd applauds and cheers,a crowd of people applauding and cheering
a man is speaking and rain is falling,rain noise on surface as men are speaking,wind rain and people talking,hard rain falls on a metal surface then three adult males speak while soft rhythmic whooshing occurs,a man talking followed by a vehicle accelerating then two men talking as rain falls on a surface,a man talking followed by two men talking then a vehicle accelerating as rain falls on a surface,a man is speaking and rain is falling,a man is speaking and rain is falling and thunder is rumbling
a vehicle engine is running and people are talking in the background,traffic sounds of vehicles with birds chirping and far away voices,a bus engine running as leaves rustle and a kid talks in the distance,a vehicle engine idles and birds chirp in the background,a loud engine is on as birds chirp and people are talking,a vehicle engine is idling along with low crinkling noises and birds are chirping from a distance,a vehicle engine idles and people speak in the background,a vehicle engine is running and people are talking in the background
water flowing stream,a river stream of water flowing,water moving down a stream swiftly,a river stream flowing rapidly,water flows loudly,water flowing down a river,water flowing stream,water is flowing and gurgling and gurgling wind is blowing
a horse is trotting,an animal is galloping with a clip-clop noise,a horse making clip-clop noises,clip clops of a horse running by,a horse trotting,clip clops from a horse,a horse is trotting,a horse clip clops
a motor vehicle engine is idling and vibrating,an engine running and then revving,a motorcycle engine running idle then revving its engine,a motorbike running idle then revving,a motorcycle engine running idle then revving,a motorcycle engine idles and then shifts gears,a motor vehicle engine is idling and vibrating,a motor vehicle engine is running and vibrating
a baby cries and a man speaks,a man speaking as a baby is crying over a radio,a baby crying over a radio as a man is talking,a man talking as a baby is crying,a baby cries while an adult male speaks,a baby crying and a man speaking,a baby cries and a man speaks,a baby cries while a man speaks
a small motor is running and vibrating and a high pitched whining sound is present,drilling noise loud and continue,a loud machine running,a power tool sanding,a tool buzzing,a machine motor buzzing and humming,a small motor is running and vibrating and a high pitched whining sound is present,a small motor is running and buzzing and a high pitched whining sound is present
a man speaks followed by a door opening and a man speaking,an adult male speaks while crunching footfalls occur then a metal car door clicks open slight rustling occurs and metal clinks,a man speaks with some clicking followed by wind blowing and a door opening,a man speaks followed by a door opening,something jangles then someone begins speaking then a door clanks,some rustling with distant birds chirping and wind blowing,a man speaks followed by a door opening,a man speaks followed by a door opening and a man speaking
a horse is trotting around and birds are chirping,insects buzzing followed by plastic camera muffling and a kid speaking then footsteps walking on foliage,insects buzzing followed by rattling and rustling,birds are calling and many bees are buzzing then a child speaks briefly and rustling footfalls and rattling occur,insects buzz nearby with distant birds chirping followed by rustling,insects buzzing as a bird is chirping in the distance followed by camera muffling and a person talking then sniffling as footsteps move over foliage,a horse is trotting around and birds chirp,a horse is trotting around and birds are chirping
a sewing machine runs and a woman speaks,a click occurs then a woman speaks followed by a sewing machine stitching,a click occurs and then a woman speaks followed by a sewing machine stitching,a click is followed by a woman speaking and then a sewing machine stitching,brief clanking followed by a woman speaking and sewing machine working,woman speaks and then sewing machine stitches,a sewing machine runs and a woman speaks,a sewing machine is in use and a woman speaks
a vehicle engine idles and a horn honks,a truck engine running followed by a truck horn honking,a truck is idling and a horn honks,engine idling continuously followed by honking,a truck engine running followed by a truck horn honking,humming and rustling from a large engine followed by two honks of a horn,an engine idles and a horn honks,a vehicle engine idles and a horn honks
water running from a faucet,water softly trickling,water makes gurgling sound,gurgling and splashing water,a stream of water softly trickling,a liquid gurgles as it drains,water running from a faucet,water running from a faucet and gurgling
a car engine is running and then revs up,a vehicle accelerates and then slows down,an engine revving as it idles,engine revs very high for a while then begins to slow down,a vehicle engine accelerating at a rapid rate before slowing down,an engine revving,a car engine revving and accelerating,a car engine is running and then revs up
a person is snoring,a person is snoring,a person snoring as metal creaks in the background,a person is snoring,a person is snoring,woosh of air and loud snoring,a person snoring,a person is snoring
water is rushing and gurgling and gurgling wind is blowing,wind is blowing and heavy rain is falling and splashing,rain heavily pouring as wind blows into a microphone and streams of water trickle on a solid surface,rain is heard falling,heavy rain pouring on a surface as wind blows into a microphone,rain falling and wind blowing hard with rustling leaves,water is rushing and gurgling and gurgling wind is blowing,water is rushing and gurgling and gurgling wind is blowing hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard hard wind wind wind wind wind wind wind wind
several pigeons coo and flap wings,pigeons coo and flap their wings,pigeons cooing and birds flapping wings as a plastic clicks multiple times,birds chirping together with rustling,many pigeons cooing and flapping,pigeons cooing and flapping their wings,pigeons coo and flap wings,several pigeons coo and flap wings
someone whistles a tune,music is playing as a person whistles,music plays along with whistling,a person whistles to music,a person whistling along to a music,a person whistling as music plays in the background,someone whistles a tune,a person whistling a tune
a man speaking with some light banging,a man talking as wood clanking as steam hisses in the background,a man speaks followed by slapping on a wooden surface as steam hisses in the background,a man speaking with slapping on a wooden surface as compressed air hisses in the background,hissing is ongoing while an adult male speaks and two thumps occur,man speaking giving directions followed by tapping on table,a man speaking with some clanking,a man speaking with some light banging
a woman speaks and a baby cries,children screaming as a man laughs followed by someone whispering then a young boy talking,people laugh followed by whispering and a child speaking,a kid laughing and screaming with a man chuckling and woman whispering,clanking together with childbearing hollering and speaking,a man laughing followed by a child screaming then another child laughing before a kid talks proceeded by a man shushing and talking softly,a woman speaks and a baby cries,a woman speaks and then a baby cries
someone types on a keyboard,typing on a computer keyboard,a person is typing on a keyboard with some ruffling,a person is typing on a computer keyboard,clicking on a computer keyboard,typing on a computer keyboard,someone types on a keyboard,a person typing on a keyboard
a woman is giving a speech,a woman is speaking from a microphone,a female speaking,a woman speaking on a microphone as a kid yells in the distance with periodic audio static clicks,a female voice speaking on a microphone,a female speaking,a woman is speaking,a woman is giving a speech
wind blows and a vehicle passes by,man speaks midst a crowd a distant horn blow then a race car goes by,a vehicle driving in the distance followed by tires skidding as a vehicle drives by while a crowd of people talk in the background and wind blows into a microphone,wind and people speaking and a car passing by,a race car engine hums in the distance as wind blows into a microphone and a crowd of people talk followed by a race car speeding by,a racing vehicle driving in the distance then driving by as a crowd of people talk in the background followed by a horn honking while wind blows into a microphone,wind blows and a vehicle passes by,wind blows and a motor vehicle engine runs
a frog is croaking,frogs croaking with rustling in the background,two instances of bird wings flapping while frogs are croaking,a group of frogs croaking as plastic flutters in the background,frogs chirp loudly,high pitched croaking of frogs with some rustling,a frog is croaking,a frog is croaking and chirping
a vehicle horn honks and a man speaks,an engine revving followed by horn honking and more revving,vibrations and humming from an oncoming large vehicle with people speaking in the distance,a truck horn honking as a large truck engine drives by while a crowd of people talk in the background,a truck driving by as a truck horn honks while a crowd of people talk in the background,a truck is traveling on the road and the driver is honking the horn,a vehicle horn honks and a man speaks,a vehicle horn honking and a man speaking
a large motor vehicle engine is running and people are talking in the background,bells chiming followed by a lawn mower engine running then a steam engine running and train whistle blowing while a crowd of people talk in the background,humming with some hissing and whistling,a train running on railroad tracks followed by a lawn mower engine running then a steam engine whistle blowing as a crowd of people are talking in the background,a train running on railroad tracks as a bell chimes followed by a lawn mower engine running then a steam engine operating as steam hisses and a train whistle blows while a crowd of people talk in the background,a train engine running as bells chime followed by a lawn mower running then a steam engine running while a steam whistle blows and a crowd of people talk in the background,a large motor vehicle engine is running and people are talking in the background,a large motor vehicle engine is running and people are speaking in the background
a cat is meowing,a cat meowing repeatedly,a cat meowing repeatedly,a speech and then a cat vocalizing repeatedly,a cat meowing as a man talks followed by wood knocking and a person breathing while a machine hums in the background,a cat meowing and whining,a cat is meowing,a cat is meowing and a person is talking
a person speaks and then a horse clip clops,rapid and repeated gunfire and then a male speech,a small gun being shot repeatedly,an air gun firing rapidly followed by plastic rattling and a young boy talking while footsteps walk over grass,compressed air releasing and metal repeatedly clacking followed by plastic rattling and a young boy talking and then footsteps on grass,rapid and repeated gunfire and then male speech,a person speaks and then a horse clip clops,a person speaks and then a horse clip clop
wind blows and waves crash,wind blowing and an engine running,an aircraft flying in the distance as wind blows into a microphone,an aircraft flying as a person briefly sniffs aloud while wind blows into a microphone,humming of a distant large engine with wind blowing hard,an aircraft running as wind blows into a microphone as a person sniffles,wind blows and waves crash,wind blows and a vehicle passes by
